setting,population,model,target_sensitivity,threshold,screened,detected
tesi,"tutti, bersaglio composito",lr_scored,0.01,0.5029874566047413,0.0016091954022988506,0.011764705882352941
tesi,"tutti, bersaglio composito",lr_scored,0.02,0.4656683629403523,0.0034482758620689655,0.021176470588235293
tesi,"tutti, bersaglio composito",lr_scored,0.03,0.4181656903659834,0.005747126436781609,0.03058823529411765
tesi,"tutti, bersaglio composito",lr_scored,0.04,0.390950035074292,0.008045977011494253,0.04
tesi,"tutti, bersaglio composito",lr_scored,0.05,0.3667160009689421,0.011494252873563218,0.05176470588235294
tesi,"tutti, bersaglio composito",lr_scored,0.06,0.3457891426226594,0.014482758620689656,0.0611764705882353
tesi,"tutti, bersaglio composito",lr_scored,0.07,0.3323722441037895,0.017241379310344827,0.07058823529411765
tesi,"tutti, bersaglio composito",lr_scored,0.08,0.3284023508309187,0.01839080459770115,0.08
tesi,"tutti, bersaglio composito",lr_scored,0.09,0.3178901566480137,0.022988505747126436,0.09176470588235294
tesi,"tutti, bersaglio composito",lr_scored,0.1,0.2995905482587448,0.027586206896551724,0.1011764705882353
tesi,"tutti, bersaglio composito",lr_scored,0.11,0.2947988103955756,0.029425287356321838,0.11058823529411765
tesi,"tutti, bersaglio composito",lr_scored,0.12,0.2892428585261397,0.03195402298850575,0.12
tesi,"tutti, bersaglio composito",lr_scored,0.13,0.2785145218888157,0.03517241379310345,0.13176470588235295
tesi,"tutti, bersaglio composito",lr_scored,0.14,0.2681275591179451,0.038620689655172416,0.1411764705882353
tesi,"tutti, bersaglio composito",lr_scored,0.15,0.2601705228765673,0.04367816091954023,0.15058823529411763
tesi,"tutti, bersaglio composito",lr_scored,0.16,0.2494623772182062,0.04850574712643678,0.16
tesi,"tutti, bersaglio composito",lr_scored,0.17,0.2375327500892388,0.05425287356321839,0.17176470588235293
tesi,"tutti, bersaglio composito",lr_scored,0.18,0.232396579792663,0.05839080459770115,0.1811764705882353
tesi,"tutti, bersaglio composito",lr_scored,0.19,0.2289498953275557,0.060689655172413794,0.19058823529411764
tesi,"tutti, bersaglio composito",lr_scored,0.2,0.2235772245507898,0.06459770114942529,0.2
tesi,"tutti, bersaglio composito",lr_scored,0.21,0.2197677174904882,0.06919540229885057,0.21176470588235294
tesi,"tutti, bersaglio composito",lr_scored,0.22,0.2163052167099231,0.07195402298850574,0.2211764705882353
tesi,"tutti, bersaglio composito",lr_scored,0.23,0.2110594815105694,0.07563218390804598,0.23058823529411765
tesi,"tutti, bersaglio composito",lr_scored,0.24,0.2051291900325552,0.08068965517241379,0.24
tesi,"tutti, bersaglio composito",lr_scored,0.25,0.1995875554022558,0.08505747126436781,0.25176470588235295
tesi,"tutti, bersaglio composito",lr_scored,0.26,0.1949863957921243,0.08850574712643679,0.2611764705882353
tesi,"tutti, bersaglio composito",lr_scored,0.27,0.1891837765549296,0.09333333333333334,0.27058823529411763
tesi,"tutti, bersaglio composito",lr_scored,0.28,0.183472588064713,0.09862068965517241,0.28
tesi,"tutti, bersaglio composito",lr_scored,0.29,0.1739194982449,0.10942528735632184,0.2917647058823529
tesi,"tutti, bersaglio composito",lr_scored,0.3,0.1726014817946596,0.11241379310344828,0.30117647058823527
tesi,"tutti, bersaglio composito",lr_scored,0.31,0.1674768151144027,0.11701149425287356,0.31058823529411766
tesi,"tutti, bersaglio composito",lr_scored,0.32,0.1651157757035941,0.12045977011494254,0.32
tesi,"tutti, bersaglio composito",lr_scored,0.33,0.1604094915457763,0.12804597701149426,0.33176470588235296
tesi,"tutti, bersaglio composito",lr_scored,0.34,0.1555814930328719,0.13540229885057473,0.3411764705882353
tesi,"tutti, bersaglio composito",lr_scored,0.35,0.1503986569238853,0.14551724137931035,0.35058823529411764
tesi,"tutti, bersaglio composito",lr_scored,0.36,0.1491833980559286,0.14781609195402298,0.36
tesi,"tutti, bersaglio composito",lr_scored,0.37,0.1453415800705726,0.1542528735632184,0.37176470588235294
tesi,"tutti, bersaglio composito",lr_scored,0.38,0.1442284265916572,0.15747126436781608,0.3811764705882353
tesi,"tutti, bersaglio composito",lr_scored,0.39,0.1419265454008162,0.1625287356321839,0.3905882352941176
tesi,"tutti, bersaglio composito",lr_scored,0.4,0.1389135375515092,0.16827586206896553,0.4
tesi,"tutti, bersaglio composito",lr_scored,0.41,0.1352131338174666,0.17724137931034484,0.4117647058823529
tesi,"tutti, bersaglio composito",lr_scored,0.42,0.1324262949701282,0.1839080459770115,0.4211764705882353
tesi,"tutti, bersaglio composito",lr_scored,0.43,0.1296845365388805,0.19149425287356323,0.43058823529411766
tesi,"tutti, bersaglio composito",lr_scored,0.44,0.1281120092088427,0.1974712643678161,0.44
tesi,"tutti, bersaglio composito",lr_scored,0.45,0.1231464895849429,0.2096551724137931,0.45176470588235296
tesi,"tutti, bersaglio composito",lr_scored,0.46,0.1186234845585013,0.22666666666666666,0.4611764705882353
