id,sezione,valore_nel_documento,file,filtro,colonna,aggregazione,arrotondamento
T1.01,regole,4.350,analytics/quality/evaluation/calibration.csv,group == 'tutti' & model == 'lr_penalized',n,value,0
T1.02,regole,1.451,analytics/test/run_1/q1_discrimination.csv,technique == 'fase_a' & model == 'lr_scored' & group == 'tutti',n,value,0
T2.01,0,9,analytics/quality/evaluation/decision_curve.csv,group == 'tutti' & model != 'dummy' & threshold == 0.07,avoided_per_100,min,0
T2.02,0,13,analytics/quality/evaluation/decision_curve.csv,group == 'tutti' & model != 'dummy' & threshold == 0.07,avoided_per_100,max,0
T2.03,0,25,analytics/quality/evaluation/decision_curve.csv,group == 'tutti' & model != 'dummy' & threshold == 0.1,avoided_per_100,min,0
T2.04,0,28,analytics/quality/evaluation/decision_curve.csv,group == 'tutti' & model != 'dummy' & threshold == 0.1,avoided_per_100,max,0
T3.01,0,13,analytics/test/run_1/decision_curve.csv,group == 'tutti' & model != 'dummy' & threshold == 0.07,avoided_per_100,min,0
T3.02,0,19,analytics/test/run_1/decision_curve.csv,group == 'tutti' & model != 'dummy' & threshold == 0.07,avoided_per_100,max,0
T3.03,0,29,analytics/test/run_1/decision_curve.csv,group == 'tutti' & model != 'dummy' & threshold == 0.1,avoided_per_100,min,0
T3.04,0,33,analytics/test/run_1/decision_curve.csv,group == 'tutti' & model != 'dummy' & threshold == 0.1,avoided_per_100,max,0
T6.01,0,"0,743",analytics/test/run_1/q1_discrimination.csv,technique == 'fase_a' & model == 'random_forest' & group == 'tutti',auc,value,3
T6.02,0,"0,723",analytics/test/run_1/q1_discrimination.csv,technique == 'fase_a' & model == 'lr_scored' & group == 'tutti',auc,value,3
T6.03,0,"0,249",analytics/test/run_1/q1_discrimination.csv,technique == 'fase_a' & model == 'random_forest' & group == 'tutti',pr_auc,value,3
T6.04,0,"0,266",analytics/test/run_1/q1_discrimination.csv,technique == 'fase_a' & model == 'lr_scored' & group == 'tutti',pr_auc,value,3
